94109	94107	94102	94134	94104	94117	94116	94103	94131	94127	94122	94121	94124	94133	94110	94105	94129	94111	94108	94112	94118	94114	94130	94115
94111	94121	94131	94124	94110	94129	94127	94116	94133	94103	94134	94114	94102	94117	94107	94105	94108	94112	94118	94122	94130	94104	94109	94115
94102	94110	94107	94131	94121	94133	94103	94116	94127	94105	94124	94117	94134	94112	94111	94122	94129	94114	94108	94104	94118	94130	94109	94115
94115	94124	94133	94134	94131	94109	94105	94107	94122	94127	94117	94116	94103	94112	94102	94129	94118	94121	94110	94108	94111	94114	94104	94130
94107	94102	94103	94131	94121	94127	94124	94117	94134	94133	94110	94116	94105	94129	94112	94122	94111	94108	94118	94114	94104	94130	94109	94115
94134	94117	94133	94103	94124	94116	94121	94127	94122	94131	94112	94105	94107	94118	94108	94110	94129	94111	94102	94114	94104	94130	94109	94115
94117	94134	94116	94103	94124	94133	94131	94121	94118	94112	94127	94105	94110	94107	94108	94129	94122	94104	94102	94114	94111	94130	94109	94115
94114	94112	94105	94116	94108	94110	94121	94111	94117	94133	94134	94124	94129	94131	94127	94102	94103	94122	94107	94104	94118	94130	94109	94115
94108	94103	94127	94116	94129	94121	94112	94117	94105	94124	94133	94110	94134	94114	94131	94122	94107	94111	94102	94118	94130	94104	94109	94115
94103	94129	94121	94110	94124	94127	94108	94131	94117	94116	94105	94134	94133	94107	94112	94102	94122	94111	94118	94114	94104	94130	94109	94115
94110	94121	94103	94105	94131	94129	94112	94116	94102	94127	94111	94117	94107	94124	94133	94108	94134	94114	94122	94118	94130	94104	94109	94115
94129	94103	94121	94127	94124	94110	94131	94116	94133	94105	94108	94111	94112	94117	94134	94107	94122	94102	94114	94118	94104	94130	94109	94115
94127	94133	94116	94103	94121	94129	94131	94124	94122	94110	94108	94134	94105	94117	94107	94102	94112	94111	94118	94114	94104	94130	94109	94115
94105	94112	94110	94121	94103	94131	94129	94114	94127	94117	94116	94133	94134	94124	94102	94108	94107	94111	94122	94118	94104	94130	94109	94115
94122	94133	94116	94127	94134	94131	94117	94124	94103	94108	94129	94121	94107	94102	94110	94112	94118	94111	94105	94130	94114	94104	94109	94115
94121	94110	94103	94129	94127	94105	94131	94111	94112	94117	94116	94102	94133	94124	94134	94108	94107	94114	94122	94118	94130	94104	94109	94115
94133	94127	94124	94116	94122	94131	94134	94117	94103	94121	94129	94102	94105	94107	94108	94118	94110	94111	94112	94114	94104	94130	94109	94115
94118	94117	94130	94131	94133	94134	94124	94127	94103	94116	94121	94129	94122	94111	94107	94104	94105	94110	94112	94102	94108	94114	94109	94115
94131	94116	94127	94103	94110	94133	94124	94129	94121	94111	94117	94105	94102	94107	94134	94112	94118	94122	94108	94114	94104	94130	94109	94115
94112	94105	94110	94121	94103	94117	94116	94114	94108	94131	94134	94129	94127	94124	94133	94107	94102	94122	94111	94118	94104	94130	94109	94115
94124	94103	94133	94129	94131	94127	94117	94134	94116	94121	94111	94107	94105	94108	94110	94122	94118	94112	94102	94104	94114	94130	94109	94115
94116	94131	94127	94133	94117	94122	94103	94110	94124	94134	94129	94108	94121	94112	94105	94102	94107	94114	94111	94118	94104	94130	94109	94115
94130	94118	94117	94122	94134	94121	94131	94102	94133	94108	94103	94116	94110	94112	94127	94111	94107	94114	94105	94124	94129	94104	94109	94115
94104	94117	94124	94116	94131	94118	94129	94133	94134	94102	94127	94103	94122	94112	94105	94107	94114	94108	94121	94110	94111	94130	94109	94115
