94134	94110	94104	94102	94103	94112	94105	94107	94115	94130	94109	94124	94127	94133	94116	94114	94117	94121	94108	94122	94131	94118	94129	94111	
94115	94107	94109	94127	94133	94117	94104	94105	94110	94130	94114	94116	94121	94102	94134	94108	94131	94129	94122	94118	94103	94112	94111	94124	
94110	94107	94105	94109	94134	94115	94104	94127	94102	94116	94103	94114	94112	94133	94130	94117	94121	94108	94122	94131	94118	94124	94129	94111	
94104	94130	94105	94102	94110	94134	94109	94112	94115	94107	94103	94124	94133	94127	94117	94116	94114	94108	94121	94129	94131	94122	94118	94111	
94115	94133	94109	94117	94107	94114	94121	94127	94129	94122	94116	94108	94131	94118	94105	94110	94130	94104	94111	94102	94134	94112	94103	94124	
94115	94109	94107	94133	94127	94117	94108	94121	94114	94129	94105	94116	94130	94104	94110	94102	94122	94131	94134	94112	94111	94118	94103	94124	
94104	94102	94130	94110	94105	94112	94134	94124	94103	94115	94109	94107	94133	94127	94117	94114	94116	94108	94129	94111	94121	94122	94131	94118	
94110	94134	94103	94105	94102	94112	94104	94107	94109	94124	94115	94130	94116	94114	94127	94133	94117	94121	94118	94131	94108	94122	94129	94111	
94107	94115	94127	94109	94114	94133	94116	94121	94117	94110	94108	94122	94131	94105	94118	94102	94134	94104	94129	94112	94103	94130	94124	94111	
94110	94134	94105	94102	94107	94103	94112	94109	94115	94104	94133	94127	94116	94130	94114	94124	94117	94121	94108	94122	94118	94131	94129	94111	
94102	94112	94134	94110	94103	94124	94104	94105	94130	94107	94115	94109	94127	94133	94116	94108	94114	94117	94121	94122	94118	94131	94129	94111	
94102	94112	94134	94124	94103	94110	94104	94105	94130	94107	94109	94115	94127	94133	94116	94114	94108	94117	94121	94122	94129	94118	94131	94111	
94102	94134	94110	94112	94103	94105	94104	94124	94107	94109	94115	94130	94133	94127	94116	94114	94117	94121	94108	94122	94118	94131	94129	94111	
94134	94112	94102	94103	94110	94105	94124	94104	94107	94109	94115	94130	94127	94133	94116	94114	94117	94121	94108	94122	94118	94131	94129	94111	
94115	94107	94109	94133	94108	94127	94102	94104	94110	94121	94117	94114	94105	94112	94129	94130	94116	94134	94122	94103	94111	94131	94124	94118	
94111	94115	94129	94130	94109	94133	94107	94108	94104	94117	94127	94121	94102	94114	94105	94122	94110	94116	94131	94112	94134	94118	94124	94103	
94102	94112	94110	94134	94103	94104	94105	94107	94124	94115	94109	94130	94127	94133	94108	94114	94116	94117	94121	94122	94129	94118	94131	94111	
94112	94134	94103	94110	94102	94124	94105	94107	94104	94109	94115	94127	94133	94116	94130	94114	94108	94117	94121	94118	94122	94131	94129	94111	
94110	94134	94102	94112	94103	94105	94107	94109	94115	94104	94124	94127	94133	94116	94130	94114	94117	94121	94108	94118	94122	94131	94129	94111	
94110	94102	94134	94112	94103	94105	94107	94109	94115	94104	94124	94127	94133	94116	94130	94114	94117	94121	94108	94122	94118	94131	94129	94111	
